Date,Open,High,Low,Close,Adj Close,Volume,CryptoName 
8/9/2019,"10,685,517,578","10,699,817,383","10,449,039,063","10,516,327,148","10,516,327,148",16258144339,BTC
8/10/2019,"10,515,103,516","10,563,061,523","10,038,477,539","10,065,183,594","10,065,183,594",16067873849,BTC
8/11/2019,"10,061,385,742","10,281,453,125","9,944,437,500","10,281,453,125","10,281,453,125",14074052012,ETH
8/12/2019,"10,285,912,109","10,285,912,109","10,119,526,367","10,148,331,055","10,148,331,055",12167350642,BTC
8/13/2019,"10,150,457,031","10,191,115,234","9,686,146,484","9,749,752,930","9,749,752,930",14926859587,BTC
8/14/2019,"9,742,889,648","9,743,235,352","8,997,945,313","9,021,052,734","9,021,052,734",17941077695,BTC
8/15/2019,"9,009,011,719","9,361,324,219","8,687,370,117","9,280,875,977","9,280,875,977",20610279832,ETH
8/16/2019,"9,288,035,156","9,479,050,781","8,894,214,844","9,350,391,602","9,350,391,602",18231683056,ETH
8/17/2019,"9,336,316,406","9,420,950,195","9,091,140,625","9,221,871,094","9,221,871,094",12418143563,ETH
8/18/2019,"9,223,008,789","9,452,520,508","9,120,339,844","9,327,295,898","9,327,295,898",11720021193,ETH
8/19/2019,"9,331,008,789","9,849,555,664","9,301,200,195","9,849,555,664","9,849,555,664",14471326152,BTC
8/20/2019,"9,849,917,969","9,876,574,219","9,575,647,461","9,699,050,781","9,699,050,781",13564753835,ETH
8/21/2019,"9,699,956,055","9,731,685,547","8,977,408,203","9,140,374,023","9,140,374,023",17556757969,ETH
8/22/2019,"9,145,227,539","9,231,165,039","8,852,957,031","9,139,012,695","9,139,012,695",15423303692,BTC
8/23/2019,"9,145,374,023","9,302,128,906","9,095,387,695","9,271,415,039","9,271,415,039",13920552878,ETH
8/24/2019,"9,271,129,883","9,271,746,094","8,892,230,469","9,042,080,078","9,042,080,078",13750984650,BTC
8/25/2019,"9,042,771,484","9,167,404,297","8,977,783,203","9,097,291,992","9,097,291,992",12700255536,BTC
8/26/2019,"9,087,928,711","9,435,245,117","9,087,928,711","9,342,159,180","9,342,159,180",16609760859,BTC
8/27/2019,"9,344,463,867","9,351,583,984","9,083,462,891","9,184,275,391","9,184,275,391",13311459751,BTC
8/28/2019,"9,200,777,344","9,274,475,586","8,767,688,477","8,799,738,281","8,799,738,281",15880872157,BTC
8/29/2019,"8,801,059,570","8,801,059,570","8,503,275,391","8,598,343,750","8,598,343,750",15411485578,ETH
8/30/2019,"8,602,542,969","8,786,068,359","8,532,566,406","8,718,021,484","8,718,021,484",12348578279,ETH
8/31/2019,"8,717,445,313","8,785,218,750","8,656,780,273","8,746,569,336","8,746,569,336",10403255190,ETH
9/1/2019,"8,746,504,883","8,913,098,633","8,703,469,727","8,877,674,805","8,877,674,805",10412835971,BTC
9/2/2019,"8,877,125,000","9,477,750,977","8,869,838,867","9,436,462,891","9,436,462,891",15730631502,ETH
9/3/2019,"9,435,870,117","9,785,122,070","9,419,951,172","9,681,073,242","9,681,073,242",17665184989,ETH
9/4/2019,"9,678,932,617","9,755,400,391","9,474,758,789","9,600,941,406","9,600,941,406",15172537667,ETH
9/5/2019,"9,594,652,344","9,642,004,883","9,525,971,680","9,585,356,445","9,585,356,445",13188821504,BTC
9/6/2019,"9,586,882,813","9,879,585,938","9,332,862,305","9,302,545,898","9,302,545,898",17553807808,BTC
9/7/2019,"9,303,111,328","9,489,661,133","9,298,607,422","9,452,435,547","9,452,435,547",13757572158,BTC
9/8/2019,"9,453,208,008","9,522,882,813","9,440,462,891","9,475,269,531","9,475,269,531",12405793930,ETH
9/9/2019,"9,476,279,297","9,482,874,023","9,195,496,094","9,355,652,344","9,355,652,344",15928586966,ETH
9/10/2019,"9,355,483,398","9,410,892,578","9,076,946,289","9,155,443,359","9,155,443,359",13491378250,BTC
9/11/2019,"9,160,698,242","9,249,416,992","9,035,238,281","9,241,625,977","9,241,625,977",14008172465,BTC
9/12/2019,"9,240,694,336","9,437,917,969","9,173,333,008","9,416,116,211","9,416,116,211",13860393424,BTC
9/13/2019,"9,420,778,320","9,437,028,320","9,231,027,344","9,308,952,148","9,308,952,148",12677713410,BTC
9/14/2019,"9,295,345,703","9,364,287,109","9,247,087,891","9,306,707,031","9,306,707,031",12101638742,ETH
9/15/2019,"9,305,284,180","9,310,314,453","9,244,037,109","9,336,203,125","9,336,203,125",10866163849,ETH
9/16/2019,"9,336,319,336","9,375,892,578","9,257,708,984","9,338,717,773","9,338,717,773",13776332504,ETH
9/17/2019,"9,344,703,125","9,299,406,250","9,261,883,789","9,247,510,742","9,247,510,742",13819521176,ETH
9/18/2019,"9,253,401,367","9,284,774,414","9,219,458,008","9,246,486,328","9,246,486,328",14660255693,ETH
9/19/2019,"9,248,524,414","9,332,086,914","8,922,421,875","9,292,973,633","9,292,973,633",18047239238,ETH
9/20/2019,"9,292,886,719","9,311,799,805","9,195,809,570","9,239,483,398","9,239,483,398",13370761401,ETH
9/21/2019,"9,241,304,688","9,245,341,797","9,075,292,969","9,092,541,992","9,092,541,992",12182959742,ETH
9/22/2019,"9,096,534,180","9,142,206,055","9,004,351,563","9,138,951,172","9,138,951,172",11978776314,BTC
9/23/2019,"9,136,746,094","9,138,341,797","8,824,143,555","8,850,279,297","8,850,279,297",13776581397,BTC
9/24/2019,"8,850,277,344","8,925,556,641","7,596,945,801","7,826,957,031","7,826,957,031",22701120940,BTC
9/25/2019,"7,811,396,973","7,944,519,043","7,568,975,586","7,748,666,992","7,748,666,992",19853045710,ETH
9/26/2019,"7,749,284,668","7,789,799,805","7,223,498,535","7,433,726,563","7,433,726,563",17632812763,BTC
9/27/2019,"7,428,355,469","7,559,797,852","7,271,262,207","7,541,815,430","7,541,815,430",14997033814,BTC
9/28/2019,"7,541,292,969","7,572,680,664","7,426,278,809","7,537,401,367","7,537,401,367",12926102470,BTC
9/29/2019,"7,537,513,184","7,551,836,914","7,301,916,016","7,405,604,980","7,405,604,980",11911044079,BTC
9/30/2019,"7,405,642,090","7,626,702,148","7,154,353,516","7,609,142,578","7,609,142,578",15702454866,BTC
10/1/2019,"7,614,512,695","7,768,811,035","7,555,969,727","7,630,927,734","7,630,927,734",13998573192,BTC
10/2/2019,"7,631,783,691","7,657,534,180","7,527,444,824","7,657,534,180","7,657,534,180",11975466884,ETH
10/3/2019,"7,655,465,332","7,674,700,684","7,413,200,684","7,525,158,203","7,525,158,203",12452803872,BTC
10/4/2019,"7,524,705,078","7,525,216,309","7,427,626,953","7,473,723,145","7,473,723,145",11967022550,BTC
10/5/2019,"7,477,557,617","7,482,454,590","7,351,418,945","7,424,631,348","7,424,631,348",11112578862,ETH
10/6/2019,"7,423,152,344","7,433,657,227","7,246,533,691","7,272,209,473","7,272,209,473",11981277728,BTC
10/7/2019,"7,273,087,402","7,567,120,605","7,201,986,816","7,515,011,230","7,515,011,230",16413971354,ETH
